Reg. Nr;Nosaukums;ATVK;Adrese;Kategorija;X koordināta;Y koordināta;Tips;Tipa nosaukums
88428/3161;"Sadzīves atkritumu izgāztuve ""Gobiņas""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag.;Potenciāli piesārņota vieta;22.382222;57.053333;31;Vecas atkritumu izgāztuves
88428/3162;"Minerālmēslu noliktava ""Valgales Birznieki""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Valgale, Birznieki;Potenciāli piesārņota vieta;22.46888888;57.05055555;43;Minerālmēslu un pesticīdu glabātavas
88428/3163;"Minerālmēslu noliktava ""Laiņi""";Talsu novads, Sabiles pilsēta;Latvijas Republika, Talsu nov., Sabile;Potenciāli piesārņota vieta;22.59166666;57.05027777;43;Minerālmēslu un pesticīdu glabātavas
88428/3164;"Minerālmēslu noliktava ""Rožkalni""";Talsu novads, Sabiles pilsēta;Latvijas Republika, Talsu nov., Sabile;Potenciāli piesārņota vieta;22.548056;57.018056;43;Minerālmēslu un pesticīdu glabātavas
88428/3165;"Minerālmēslu noliktava ""Kļavas""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Kļavas;Potenciāli piesārņota vieta;22.62694444;57.04638888;43;Minerālmēslu un pesticīdu glabātavas
88428/3166;"Minerālmēslu noliktava un ferma ""Žuburi""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Žuburi;Potenciāli piesārņota vieta;22.61611111;57.065;43;Minerālmēslu un pesticīdu glabātavas
88428/3167;"Minerālmēslu noliktava ""Rudzīši""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag.;Potenciāli piesārņota vieta;22.585833;57.091111;43;Minerālmēslu un pesticīdu glabātavas
88428/3168;"Minerālmēslu noliktava un ferma ""Egles""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Egles;Potenciāli piesārņota vieta;22.52777777;57.03444444;43;Minerālmēslu un pesticīdu glabātavas
88428/3169;"Degvielas noliktava ""Endoli""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag.;Potenciāli piesārņota vieta;22.522778;57.025833;22;Naftas bāzes
88428/3170;Centra mehāniskās darbnīcas;Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Centra mehāniskās darbnīcas;Potenciāli piesārņota vieta;22.59171666;57.05355833;92;Tirdzniecības objekti
88428/3171;Rinkules autoserviss;Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Rinkule, Rinkules Serviss;Potenciāli piesārņota vieta;22.62111111;57.04833333;92;Tirdzniecības objekti
88428/3172;"Minerālmēslu noliktava ""Lejas""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag.;Potenciāli piesārņota vieta;22.581944;57.091944;43;Minerālmēslu un pesticīdu glabātavas
88428/3173;"Mehāniskās darbnīcas ""Kraujas""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Lielvirbi, Kraujas;Potenciāli piesārņota vieta;22.57138888;57.08277777;92;Tirdzniecības objekti
88428/3174;"Mehāniskās darbnīcas ""Jaunozoliņi""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag.;Potenciāli piesārņota vieta;22.468333;57.046111;92;Tirdzniecības objekti
88428/3175;"Amonjaka glabātuve ""Zābaki""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Zābaki;Potenciāli piesārņota vieta;22.58916666;57.09944444;43;Minerālmēslu un pesticīdu glabātavas
88428/3176;"Ferma ""Gobiņas""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Gobiņas;Potenciāli piesārņota vieta;22.48;57.05583333;41;Fermas
88428/3177;"Ferma ""Strautkalni""";Talsu novads, Abavas pagasts;Latvijas Republika, Talsu nov., Abavas pag., Strautkalni;Potenciāli piesārņota vieta;22.53027777;57.01666666;41;Fermas
88428/3178;"Katlu māja ""Priedes""";Talsu novads, Sabiles pilsēta;Latvijas Republika, Talsu nov., Sabile, Zirņu iela, 1;Potenciāli piesārņota vieta;22.58721388;57.04985833;19;Katlu mājas, koģenerācijas stacijas
88468/3070;Sadzīves atkritumu izgāztuve Mariņi;Talsu novads, Balgales pagasts;Latvijas Republika, Talsu nov., Balgales pag.;Potenciāli piesārņota vieta;22.93106111;57.14262222;31;Vecas atkritumu izgāztuves
88468/3071;"Liellopu ferma ""Amatas""";Talsu novads, Balgales pagasts;Latvijas Republika, Talsu nov., Balgales pag., Vītoli;Potenciāli piesārņota vieta;22.85743611;57.193625;41;Fermas
88468/3072;"Liellopu ferma ""Tiltnieki""";Talsu novads, Balgales pagasts;Latvijas Republika, Talsu nov., Balgales pag., Zvankalni;Potenciāli piesārņota vieta;22.89384722;57.19990555;41;Fermas
88468/3073;"Liellopu ferma ""Salas""";Talsu novads, Balgales pagasts;Latvijas Republika, Talsu nov., Balgales pag.;Potenciāli piesārņota vieta;22.88406944;57.18482777;41;Fermas
88468/3074;"Liellopu ferma ""Galtene""";Talsu novads, Balgales pagasts;Latvijas Republika, Talsu nov., Balgales pag.;Potenciāli piesārņota vieta;22.85544444;57.15943333;41;Fermas
88508/3075;Sadzīves atkritumu izgāztuve Mačas;Dundagas novads, Dundagas pagasts;Latvijas Republika, Dundagas nov., Dundagas pag.;Potenciāli piesārņota vieta;22.339444;57.530833;31;Vecas atkritumu izgāztuves
88508/3081;"Minerālmēslu noliktava ""Jaunsniķeri""";Dundagas novads, Dundagas pagasts;Latvijas Republika, Dundagas nov., Dundagas pag.;Potenciāli piesārņota vieta;22.395278;57.492222;43;Minerālmēslu un pesticīdu glabātavas
88508/3085;DUS Nevejas darbnīcās;Dundagas novads, Dundagas pagasts;Latvijas Republika, Dundagas nov., Dundagas pag., Nevejas Darbnīcas DUS;Potenciāli piesārņota vieta;22.30206666;57.57942777;21;DUS (GUS)
88508/3086;Degvielas noliktava Vīdalē;Dundagas novads, Dundagas pagasts;Latvijas Republika, Dundagas nov., Dundagas pag.;Potenciāli piesārņota vieta;22.461667;57.608056;22;Naftas bāzes
88508/3088;"SIA ""Dundaga"" degvielas bāze";Dundagas novads, Dundagas pagasts;Latvijas Republika, Dundagas nov., Dundagas pag., Dundaga, Brīvības iela, 23;Potenciāli piesārņota vieta;22.37222222;57.50430277;22;Naftas bāzes
88548/3089;"Pesticīdu noliktava ""Skujas""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag.;Potenciāli piesārņota vieta;22.486667;57.225556;43;Minerālmēslu un pesticīdu glabātavas
88548/3090;"Minerālmēslu noliktava ""Silakaktiņi""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Turkmuiža, Silakaktiņi;Potenciāli piesārņota vieta;22.544722;57.2325;43;Minerālmēslu un pesticīdu glabātavas
88548/3091;"Minerālmēslu noliktava ""Silvas""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Talsciems, Silvas;Potenciāli piesārņota vieta;22.56603055;57.26155277;43;Minerālmēslu un pesticīdu glabātavas
88548/3092;"Amonjakūdens noliktava ""Madaras""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Eglāju ferma;Potenciāli piesārņota vieta;22.47700555;57.21430555;43;Minerālmēslu un pesticīdu glabātavas
88548/3093;"Galdniecība un gateris ""Lasmaņos""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Darba iela, 3;Potenciāli piesārņota vieta;22.51740277;57.228625;18;Kokapstrādes rūpn.
88548/3094;"Z/s ""Paegļi"" degvielas bāze";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Sumata;Potenciāli piesārņota vieta;22.52049722;57.22649444;22;Naftas bāzes
88548/3095;"Mehāniskās darbnīcas ""Lasmaņi""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Darba iela, 2;Potenciāli piesārņota vieta;22.51333333;57.22361111;92;Tirdzniecības objekti
88548/3096;"Mehāniskās darbnīcas KKS ""Pastende""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Darba iela, 4A;Potenciāli piesārņota vieta;22.51088055;57.22824444;92;Tirdzniecības objekti
88548/3097;"Degvielas bāze KKS ""Pastende""";Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Pastende, Darba iela, 11;Potenciāli piesārņota vieta;22.51156111;57.23030833;22;Naftas bāzes
88548/3098;Mehāniskās darbnīcas Spārē;Talsu novads, Ģibuļu pagasts;Latvijas Republika, Talsu nov., Ģibuļu pag., Spāre, Spāres mehāniskās darbnīcas;Potenciāli piesārņota vieta;22.27888888;57.20805555;92;Tirdzniecības objekti
